number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,gmm_covariance_type,gmm_reg_covar,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,agglo_linkage,agglo_metric,spectral_affinity,spectral_n_neighbors,spectral_gamma
135,TrialState.COMPLETE,1396.9493289078289,2,256,32,0.015712550587906594,0.534457802772522,1415.7147216796875,0.4758273472508563,12.0,0.0,23.0,3.0,0.14743589743589744,7.666666666666667,0.0,0.9382696385929304,0.0,1396.9493289078289,32.0,105.0,0.00011069941592089497,agglo,12.0,,,,,,,,ward,,,,
269,TrialState.COMPLETE,1392.1938552980903,2,256,32,0.015578677508017693,0.53834068775177,1396.921630859375,0.4911441521504763,12.0,0.0,19.0,5.0,0.12179487179487179,3.8,0.0,0.23638877806423034,0.0,1392.1938552980903,32.0,120.0,0.0001185113169065064,agglo,12.0,,,,,,,,ward,,,,
227,TrialState.COMPLETE,1391.3341931082812,2,256,32,0.01554090128072674,0.5761234760284424,1403.4569091796875,0.4352561084827146,12.0,0.0,22.0,4.0,0.14102564102564102,5.5,0.0,0.6061358035703155,0.0,1391.3341931082812,32.0,136.0,0.00010685538980460699,agglo,12.0,,,,,,,,ward,,,,
115,TrialState.COMPLETE,1385.3896198653636,2,256,32,0.015610248400979826,0.5741371512413025,1399.2525634765625,0.42693508863882457,12.0,0.0,24.0,4.0,0.15384615384615385,6.0,0.0,0.6931471805599453,0.0,1385.3896198653636,32.0,107.0,0.00011388810809594195,agglo,12.0,,,,,,,,ward,,,,
237,TrialState.COMPLETE,1382.678038373396,2,256,32,0.015428366348674465,0.5463024973869324,1397.357421875,0.4537608472718731,12.0,0.0,25.0,4.0,0.16025641025641027,6.25,0.0,0.7339691750802005,0.0,1382.678038373396,32.0,133.0,0.0001207268317943872,agglo,12.0,,,,,,,,ward,,,,
268,TrialState.COMPLETE,1381.6141742238426,2,256,32,0.015615779558439014,0.5711708664894104,1486.66943359375,0.45392973798750763,12.0,0.0,21.0,2.0,0.1346153846153846,10.5,0.0,1.252762968495368,1.0,1381.6141742238426,32.0,123.0,0.00011743953950366096,agglo,12.0,,,,,,,,ward,,,,
245,TrialState.COMPLETE,1378.224798499104,2,256,32,0.014662818180611535,0.5646722316741943,1389.4171142578125,0.4595221081200202,12.0,0.0,21.0,4.0,0.1346153846153846,5.25,0.0,0.5596157879354227,0.0,1378.224798499104,16.0,97.0,0.000111193346032729,agglo,12.0,,,,,,,,ward,,,,
21,TrialState.COMPLETE,1377.263619227518,2,256,32,0.015794827506850413,0.5592431426048279,1392.7274169921875,0.46683355593946496,12.0,0.0,26.0,4.0,0.16666666666666666,6.5,0.0,0.7731898882334817,0.0,1377.263619227518,32.0,107.0,0.00010210267982568535,agglo,12.0,,,,,,,,ward,,,,
44,TrialState.COMPLETE,1370.7341979131666,2,256,32,0.01587030088062395,0.5422075986862183,1381.926513671875,0.4855627781606018,12.0,0.0,21.0,4.0,0.1346153846153846,5.25,0.0,0.5596157879354227,0.0,1370.7341979131666,32.0,93.0,0.00010028420306353028,agglo,12.0,,,,,,,,ward,,,,
298,TrialState.COMPLETE,1368.7636375188185,2,256,32,0.015371590481302592,0.5318995714187622,1385.7095947265625,0.4751649176653821,12.0,0.0,28.0,4.0,0.1794871794871795,7.0,0.0,0.8472978603872037,0.0,1368.7636375188185,32.0,150.0,0.00013001177109923196,agglo,12.0,,,,,,,,ward,,,,
280,TrialState.COMPLETE,1362.167960838203,2,256,32,0.015671419569298493,0.5278882384300232,1381.7845458984375,0.47474557010940427,12.0,0.0,24.0,3.0,0.15384615384615385,8.0,0.0,0.9808292530117262,0.0,1362.167960838203,32.0,114.0,0.00010732715037644351,agglo,12.0,,,,,,,,ward,,,,
