,RMSE,MAE
CRWD,64.19802693065974,54.4225275872162
CSCO,4.432201076861531,3.837017470301844
CSX,5.458921837397206,4.416808312769094
CTAS,32.60195277927144,28.01381325063126
CVNA,109.81663608584788,90.7438703294617
CVS,21.042675071876335,19.016753549733874
CVX,18.955680620566984,15.159129485240957
DASH,41.08722749822113,33.219196656790885
DE,39.19518539099771,33.09881473773092
DELL,32.022733553043096,26.386458191423785
DHR,59.97816482992041,41.21336141343934
DIS,11.636481688356234,9.601115000182094
DUK,10.00785636541593,8.432205410952067
ECL,20.811700820712094,18.537023723454762
ELV,81.3269818498615,67.76955274718901
EMR,8.634656365303076,6.948025677085582
EOG,13.662868178093735,10.66806955495592
EPD,4.058022430465718,3.4574510985316493
EQIX,62.40928788028482,50.37318799772315
ET,3.378067535364041,2.903051589733988
F,2.396473497682433,2.0042728982577667
FCX,11.571531890592162,9.23518550725273
FDX,31.733610694614534,22.759793487043012
FTNT,17.865158228747227,14.383947667495981
GD,20.051405030883092,18.17400983947417
GE,66.87577941653173,60.77519556962324
GILD,14.507446100916006,12.258571719596398
GLW,10.509161199998612,8.849227568062629
GM,6.908615480342894,5.922505700127196
GOOG,17.621752694580195,13.728045679587686
GS,90.80176007190302,72.71642982103548
HCA,51.59996094487156,42.44027271586887
HD,36.67587564609146,27.300113741205543
HLT,30.514177497670676,26.1712751441239
HON,13.996065928947207,11.785118693146261
HOOD,20.319064603172908,14.94140466142096
HWM,47.34457378058984,39.354283517236865
IBKR,14.93495677830189,12.390188828357676
IBM,43.5942805402911,35.52891924104638
ICE,14.221186117845923,11.582659494811
IDXX,215.95479771113094,187.01417752260662
INTC,31.002336785057732,28.44471707528467
INTU,89.00308318264173,71.83080245381561
ISRG,103.91970626820532,91.15073095500799
ITW,35.89375263166226,31.154135603931067
JNJ,13.628598324941196,11.455989184300543
JPM,39.12063078277043,33.30425211869551
KKR,29.710645663442477,23.958414699491215
KLAC,88.47892647010393,71.03719216025337
KMI,5.785012164809706,4.599035078649363
KO,4.765558742513888,3.645644814928592
LHX,19.50541816926741,13.980449655437996
LLY,166.02167310778418,146.83700089428305
LMT,47.74538802077355,34.847626491146194
LOW,24.983642848474553,17.91186776345606
LRCX,17.517261256143726,15.45022092998357
MA,52.888173728787606,43.96479401140582
MAR,19.96958943241185,16.21205674482314
MCD,31.42826270394259,28.31901259448647
MCK,95.91799206762879,81.02118830391056
MCO,29.001696583000744,24.095671342881346
MDLZ,11.280978898387586,9.373408544129429
MET,4.461738652405649,3.352530379321694
META,146.73382765333264,135.0348200508244
MMC,20.701564874187326,18.539859244836627
MMM,23.77850452627447,19.94648818548213
MNST,10.836453669017782,9.701013143549966
MO,12.094370517379533,10.203189017364334
MPLX,9.915364607194752,8.473168715587637
MRK,18.392730701849267,15.792284844330002
MRVL,17.81151407704742,12.861991049835037
MS,12.095196617333597,8.814244665493623
MSFT,30.40453835898126,22.939085986732778
MSI,79.58588326461414,67.49886604435537
MU,20.084444950373708,14.569744384091203
NDAQ,10.108518792678863,8.028390399658878
NEE,8.786085905099016,6.9041430541823585
NEM,6.044505140331062,4.978278365583051
NET,20.610030599646464,15.946836102733297
NFLX,24.467642163479244,19.752859062911398
NKE,46.058437125206865,40.98810827139333
NOC,35.486045030993644,29.500806355344658
NOW,24.23555291169186,18.120204651553326
NSC,34.206094475571746,27.629772165203622
NVDA,54.69306660525096,50.73706424565605
ORCL,32.43277967391316,26.114235303678566
ORLY,12.921550397296603,10.98550108387984
PANW,13.080571738416868,10.385640476290034
PCAR,10.697252927345925,8.39335012699359
PEP,21.917542319003093,15.231184184880547
PFE,3.9807333260044753,3.109747491488799
PG,11.969650727307435,10.800976663663242
PGR,68.7262358435489,63.052167650085785
PH,86.0152444966511,73.78033944651567
PLD,34.862929460207084,29.761288995900866
PLTR,43.24219150781936,29.62299512894773
PM,35.57568257501427,26.534546572859117
PNC,15.322427486699626,12.551129420159272
PWR,35.28616398221796,30.60709322091624
PYPL,8.110479906672937,6.515703517429078
QCOM,25.205063235160722,19.193651146651632
