,RMSE,MAE
CTAS,3.3402658104107905,2.907853807721819
CVNA,8.658572397606791,8.126812662397112
CVS,3.744547112304979,3.3012305668422153
CVX,4.325838067318253,3.377662113734654
DASH,7.912565996133149,6.8874716077532065
DE,14.645524502866385,13.282637459891173
DELL,4.674738205355633,3.9022829873221263
DHR,7.356712940976947,5.92241232735771
DIS,5.414528454421136,3.6284288678850443
DUK,2.0214910241967288,1.6907577514648422
ECL,2.0220942622409495,1.6217515127999402
ELV,12.226155695281879,9.993699210030696
EMR,3.5895001781481257,3.378368650163924
EOG,7.853825400653995,7.168404170445034
EPD,0.43372989032944,0.3775420870099741
EQIX,18.79167625202575,15.118253435407366
ET,0.26223333274910066,0.20778049741472523
F,0.6541373989933968,0.5839457511901858
FCX,3.0108043178708366,2.7008785520281116
FDX,8.648214258550517,7.479930877685546
FTNT,5.34582876629598,4.3779593876429965
GD,7.03136532061789,6.472018650599885
GE,3.8011984029063943,2.906358173915316
GILD,4.5647381914578125,4.12854984828404
GLW,0.9501162386031377,0.6644306182861325
GM,1.4511448181437512,1.1991165706089564
GOOG,4.529980700476847,3.3536109924316406
GS,5.6636281740213485,5.008669172014501
HCA,21.427760359731465,17.39074053083147
HD,8.311909739458677,7.374228341238835
HLT,6.619053420581543,5.402009146554129
HON,9.807835418423874,9.001698630196714
HOOD,1.8250972984732368,1.7172802175794335
HWM,2.0277665930286504,1.700581550598145
IBKR,1.8694023502668031,1.6976889882768909
IBM,13.584362353945929,10.853150503976005
ICE,2.3967571053559094,2.000885827200754
IDXX,25.93866713643686,22.732886178152903
INTC,5.495000608064868,4.824830191476004
INTU,20.643025727022632,17.678909301757812
ISRG,32.922770572016425,30.613561357770664
ITW,6.342092607568398,5.551743098667688
JNJ,2.960791816234468,2.6104414803641185
JPM,3.0028012210473904,2.539691380092076
KKR,4.824407535048271,3.45894159589495
KLAC,28.025462057551124,24.39410618373326
KMI,0.49612662809051805,0.4378187315804619
KO,0.695745283840931,0.5927113124302458
LHX,5.1178408570598615,4.721554347446984
LLY,61.83066231791954,52.27304295131138
LMT,20.80724900107858,15.574079241071422
LOW,6.4292449370604805,5.536289760044645
LRCX,4.827004912294604,4.461677006312779
MA,17.339819396614203,13.464146205357142
MAR,12.176947240530867,9.92908586774554
MCD,6.2625527271712915,5.0287061418805825
MCK,25.218818677821236,23.40605490548271
MCO,9.96350880957913,7.994149344308034
MDLZ,1.7329889183824958,1.3789073399135046
MET,2.418017811925079,2.0821763447352817
META,53.31632963995898,38.632274082728806
MMC,3.9919434959485107,3.1084774562290725
MMM,8.774643950618724,6.700487681797573
MNST,1.9113860783552603,1.61802169254848
MO,0.6499258975372615,0.5717224393572126
MPLX,0.8585418183590479,0.693063599722726
MRK,11.161132280110682,10.598035267421176
MRVL,6.422500273387152,5.874335152762277
MS,5.510222928118449,4.881802150181362
MSFT,21.14915089330302,18.417663574218757
MSI,7.169053555803262,5.88251277378627
MU,2.2057992815754393,1.966066905430385
NDAQ,1.7267008310900487,1.5149378095354353
NEE,3.261600157850647,2.782139233180455
NEM,6.277988961429895,5.7280955995832175
NET,5.961626594626933,4.3365838187081485
NFLX,4.517562998024673,3.516784667968751
NKE,7.619238136571887,7.3583314078194775
NOC,21.472446452404977,15.906183515276226
NOW,10.000200180713495,8.837203434535436
NSC,8.678476630980203,7.094197954450342
NVDA,11.113715394202497,9.415520259312222
ORCL,4.911180212591989,4.297283717564172
ORLY,4.045349548890757,3.518068177359445
PANW,20.590752288297942,18.410443987165177
PCAR,3.8146600261633488,3.504171371459961
PEP,2.645016180603557,2.3338279724121094
PFE,1.05891283802128,0.9481538363865438
PG,6.7987066291193,5.460845947265625
PGR,13.393845967840706,11.8092896597726
PH,22.982949175813268,15.613880702427451
PLD,4.746241069099571,4.18638093130929
PLTR,2.3511768766318006,1.736940656389509
PM,2.3941821780888093,2.0101209368024553
PNC,4.426957967674582,3.7370196751185825
PWR,15.747611224266624,15.183388301304408
PYPL,2.1502453340708496,1.6294633320399687
QCOM,5.376673069246114,4.783852168491909
RBLX,5.550634408348065,5.2760434831891745
RCL,8.012075713281744,7.3319644927978525
REGN,52.825114217370114,50.3051518031529
RKT,2.256937949373443,2.165484530585153
ROST,2.7253045727256855,2.4104712350027904
RSG,4.692930485183322,3.812345232282366
RTX,3.835797267279963,3.091794422694615
SBUX,4.567373596982283,4.40258162362235
SCCO,4.343818115891256,3.97564206804548
SCHW,5.036948544266033,4.632428986685617
SHW,10.249012252123503,9.382383074079247
SLB,3.1724966411223146,2.694164412362235
SNOW,11.798988067667674,9.584002903529576
SNPS,23.842895775212966,21.584174019949767
SO,1.9712281745527813,1.6843979699271066
SPG,2.7521334814986,2.21685791015625
SPGI,8.12387383626366,7.043224879673543
SRE,3.2065906985784567,2.749128614153181
SYK,21.609023451258228,16.971338544573097
T,0.5393690695591844,0.43631437846592486
TDG,54.05268365882468,45.44910103934152
TFC,0.7402457348749242,0.6412379401070731
TJX,1.59386227019531,1.3117542266845692
TMO,15.056022865304042,13.068538120814733
TMUS,2.0366642057372664,1.6659491402762276
TRV,15.673587455876682,13.084608350481306
TSLA,48.52904670566846,43.552314213344026
TXN,6.518033734414993,5.817719050816128
UBER,4.156142639157526,3.61984988621303
UNH,18.142206786359225,16.500764029366625
UNP,5.29158866841094,4.432690211704797
UPS,7.4257842278604675,4.955319540841239
USB,2.0208401963623626,1.605897494724818
V,9.773652289246472,8.362704140799382
VRT,7.274438040834387,5.7581892013549805
VRTX,15.843208211666425,13.502103533063622
VST,2.3897583555926367,1.7731418609619147
VZ,2.780645424701559,2.496321405683245
