number,state,value,latent_dim,hidden_dim,n_layers,dropout,batch_size,n_epochs,lr,best_val_mse,recon_mse,median_signal_share,mean_signal_share,median_top1_period,valid_ratio,objective_value
18,TrialState.COMPLETE,0.1893132296932188,11,64,1,0.11329795670298375,512,11,0.00010625721497327523,0.004783554766670526,0.0036089760749440933,0.1893132296932188,0.19936473796218476,301.46666666666664,1.0,0.1893132296932188
6,TrialState.COMPLETE,0.1886748347047572,14,128,1,0.13007332881069883,2048,15,0.00017345566642360953,0.004594902151646758,0.003468718176848548,0.1886748347047572,0.19898922164239846,301.46666666666664,1.0,0.1886748347047572
20,TrialState.COMPLETE,0.18725284969525435,21,256,2,0.3183471047574292,1024,12,0.0002400452527737266,0.011630398833541293,0.009913136727210057,0.18725284969525435,0.19962931641678586,282.625,1.0,0.18725284969525435
2,TrialState.COMPLETE,0.1872503645175959,9,128,1,0.37955421490133334,512,11,0.0023359635026261607,0.005531742508760184,0.004232501818767884,0.1872503645175959,0.19759817417979614,301.46666666666664,1.0,0.1872503645175959
3,TrialState.COMPLETE,0.185583081416891,16,128,1,0.12468443043576438,1024,20,0.0035503048581283078,0.002667440748069998,0.002090376817819238,0.185583081416891,0.19342803846729972,282.625,1.0,0.185583081416891
1,TrialState.COMPLETE,0.1849538467996561,10,256,1,0.2447411578889518,2048,15,0.0037183641805732083,0.0028184864154484654,0.002139576352560034,0.1849538467996561,0.19482413949688285,301.46666666666664,1.0,0.1849538467996561
7,TrialState.COMPLETE,0.18293664698648782,24,256,2,0.010167650697638076,2048,13,0.0010402587615883842,0.0018985036604655242,0.0014216493052929035,0.18293664698648782,0.19069508842916208,301.46666666666664,1.0,0.18293664698648782
0,TrialState.COMPLETE,0.1829028699810326,14,64,1,0.3464704583099741,1024,20,0.004622589001020831,0.009072347568840513,0.007057901400394265,0.1829028699810326,0.1974223732318497,301.46666666666664,1.0,0.1829028699810326
5,TrialState.COMPLETE,0.18181419846618407,19,128,1,0.00220884684944096,512,18,0.00014063366777718192,0.001200592986220308,0.0008784060390264829,0.18181419846618407,0.18881691682245905,301.4333333333333,1.0,0.18181419846618407
38,TrialState.COMPLETE,0.16858287910693315,23,128,2,0.37589659655216917,1024,13,0.0001748960139471908,0.020634615184109417,0.016941848361468725,0.16858287910693315,0.18437744446690982,301.46666666666664,1.0,0.16858287910693315
10,TrialState.COMPLETE,0.16844087036209474,4,64,3,0.255919277250694,2048,10,0.0007006524581917545,0.0337149556260556,0.028803028473343525,0.16844087036209474,0.18338162445299394,301.46666666666664,1.0,0.16844087036209474
17,TrialState.COMPLETE,0.1681666320637509,20,64,3,0.243703982484205,2048,10,0.0002749912697878732,0.05800406698669706,0.05218642131375795,0.1681666320637509,0.18301692482176107,301.46666666666664,1.0,0.1681666320637509
30,TrialState.COMPLETE,0.16802878625646483,21,256,3,0.21285850151950217,1024,12,0.0002932779233055872,0.042380449242333765,0.03859840958232239,0.16802878625646483,0.18111692852653963,301.46666666666664,1.0,0.16802878625646483
35,TrialState.COMPLETE,0.16748482763184844,15,128,3,0.268495581597471,1024,13,0.0015127483640521545,0.052895570472016824,0.04878663547694268,0.16748482763184844,0.18137757012037978,301.46666666666664,1.0,0.16748482763184844
27,TrialState.COMPLETE,0.16729066062845616,16,256,3,0.22299501254783843,1024,14,0.0018536425291146709,0.019056115394103065,0.014901766755116036,0.16729066062845616,0.18133296555929826,301.46666666666664,1.0,0.16729066062845616
11,TrialState.COMPLETE,0.16707851497713871,32,64,3,0.074058947904272,512,17,0.009587528534980854,0.020532062613043477,0.016246866851062417,0.16707851497713871,0.17927114162709284,301.46666666666664,1.0,0.16707851497713871
34,TrialState.COMPLETE,0.1662823161601003,17,256,3,0.2349337395484048,1024,11,0.0058836344191198495,0.029760184864473373,0.024650738346288063,0.1662823161601003,0.18082107178425055,301.46666666666664,1.0,0.1662823161601003
13,TrialState.COMPLETE,0.1634809290665055,23,64,3,0.1856537496842609,512,12,0.009818226878189102,0.05492711034829548,0.04893613830644131,0.1634809290665055,0.18045685156524333,301.46666666666664,1.0,0.1634809290665055
25,TrialState.COMPLETE,0.1633485165785339,13,64,2,0.08890723201557806,512,11,0.00019958863001811531,0.018707805831385642,0.014529919970407111,0.1633485165785339,0.18022660747588254,301.46666666666664,1.0,0.1633485165785339
29,TrialState.COMPLETE,0.16328356171823288,27,256,3,0.29676774148949203,1024,14,0.0007594303691532669,0.029515969811556794,0.025053101535099424,0.16328356171823288,0.1783607411751568,301.46666666666664,1.0,0.16328356171823288
28,TrialState.COMPLETE,0.16316579625784364,18,256,3,0.2800953188604056,1024,13,0.00011484654121163243,0.03683348773415837,0.03226781474285462,0.16316579625784364,0.17891392754446236,301.46666666666664,1.0,0.16316579625784364
15,TrialState.COMPLETE,0.16301901242963984,28,64,2,0.18504545242119283,2048,14,0.0020065771485986692,0.037056676095484624,0.03209516501555044,0.16301901242963984,0.18102621117715506,301.46666666666664,1.0,0.16301901242963984
