date,Ticker,Volume,z
2016-09-30,PG,123735700.0,6.281782424980399
2009-03-25,PLD,29707200.0,5.144826877302129
2011-06-02,PLD,47686200.0,6.1448630303115035
2013-04-25,PLD,28065700.0,5.024714901989198
2010-02-03,PNC,74680900.0,5.994842033965671
2009-06-30,PWR,41581400.0,5.789278211577049
2022-02-02,PYPL,136264000.0,5.345149162144275
2019-04-17,QCOM,156019300.0,5.26629300241245
2011-04-27,REGN,9611500.0,5.214660346461982
2011-04-28,REGN,10900000.0,5.465781150466187
2011-12-16,REGN,13646100.0,5.914298333306841
2013-04-30,REGN,15385400.0,6.153767103708006
2015-06-09,REGN,12100.0,-8.114660063490334
2008-12-04,RSG,31099500.0,5.922357543187148
2008-09-19,SCHW,245200.0,-7.300805330306489
2023-03-13,SCHW,148476900.0,5.77395866073437
2023-03-14,SCHW,112494900.0,5.207541928198922
2017-03-15,SNPS,30294600.0,7.158297794795028
2025-09-10,SNPS,21155800.0,6.428909257750535
2025-09-11,SNPS,15275600.0,5.767365867483225
2013-02-05,SPGI,33621100.0,5.972615161749224
2025-02-25,SRE,29513700.0,5.34547367864839
2021-05-18,T,327097378.0,5.468537152326362
2016-06-02,TDG,9761000.0,5.915316426090307
2017-01-20,TDG,8692300.0,5.710528487704313
2009-05-13,TFC,85484000.0,5.420343618196338
2009-04-23,TMO,32610100.0,5.470244130400428
2013-11-15,TMUS,68946800.0,5.001804917883483
2023-12-15,UBER,364261200.0,5.501810305382496
2025-05-15,UNH,121849200.0,5.242604820561386
2025-01-30,UPS,41170400.0,5.3744799530000416
2009-05-12,USB,151560700.0,5.251837290102554
2008-03-19,V,708486000.0,6.201117825840606
2009-12-18,V,337533600.0,5.110661224259827
2012-05-07,VRTX,40216300.0,6.538701310771198
2012-05-29,VRTX,20861100.0,5.20338827459478
2012-06-28,VRTX,19489900.0,5.065073875434901
2013-04-19,VRTX,24895000.0,5.56302061308208
2013-09-20,VRTX,42258300.0,6.6394589366097065
2014-06-24,VRTX,25236800.0,5.590761422505099
2016-10-10,VST,6300.0,-7.045225521439721
2016-10-17,VST,20600.0,-5.724391587489443
2016-10-21,VST,27500.0,-5.4023109952595325
2016-10-25,VST,6200.0,-7.063063838771129
2016-10-31,VST,25900.0,-5.469139750611419
2016-11-01,VST,11800.0,-6.3455883086605445
2016-11-02,VST,9900.0,-6.54132039267833
2016-11-07,VST,2300.0,-8.168614753733099
2016-11-11,VST,13400.0,-6.203826684859857
2016-11-21,VST,28000.0,-5.38222268513945
2016-11-28,VST,500.0,-9.869970744703627
2016-12-02,VST,18400.0,-5.850305582107272
2016-12-23,VST,35100.0,-5.130265596138122
2014-02-24,VZ,616620500.0,9.059015523487842
2014-02-25,VZ,145797400.0,5.479863508267545
2014-02-27,VZ,139433900.0,5.369097873077487
2024-12-20,WDAY,46874100.0,5.657014519061699
2011-03-02,WELL,24268600.0,5.401605564325317
2025-09-19,WELL,20205200.0,5.002698027206055
2009-05-08,WFC,478736600.0,5.086957476730655
2015-06-22,WMB,101131000.0,5.711348504048972
2017-01-10,WMB,105693000.0,5.808001990724465
2018-08-10,WMB,121608100.0,6.115266063962383
2013-02-01,ZTS,66789100.0,6.469635435176194
2013-06-21,ZTS,33694200.0,5.13673196372447
2013-06-24,ZTS,40766000.0,5.507885260990986
