,WAPE,MAPE,MAE,RMSE
BKNG,4.7593222938813025,4.8119133221771575,227.41451822916667,253.57336112256914
BLK,3.6165163651975387,3.6683263341903425,35.659775797526045,41.61773100524116
BMY,2.431805452522253,2.399796622202083,1.3419839223225911,1.7156967430512207
BRK-B,1.9560944873078783,1.94049119177898,9.078971354166674,10.496630444985614
BSX,10.242316256270614,10.021507021458367,10.268570709228516,11.31088974720691
BX,3.647978516558167,3.6919910985777897,6.177456665039061,7.662850609286103
C,9.857868381646673,9.616953414308334,7.557823689778646,8.424992678018558
CAT,3.6879639804839903,3.5927263664647193,13.558261108398439,17.68069739398819
CDNS,2.402302503120041,2.3898714892688155,7.250925699869792,9.148616982714922
CEG,22.459174375005155,21.875781894666314,66.96097768147787,71.26422912863887
CI,1.8362574154047864,1.797651289610215,5.199585978190104,7.225241321499498
CL,4.747697566713905,4.778618524838094,4.087090047200521,4.426158765998835
CMCSA,5.156340815051813,5.352086055063781,1.8010248819986976,2.396905659926515
CME,1.9794494095317239,1.9442109277560855,4.585402933756516,6.19534530541456
CMI,2.622067345919895,2.600434786948309,9.31333211263021,10.363504333350091
COF,7.207333455932355,7.018308258692968,13.861727905273442,15.983611405319936
COIN,6.014825056162489,5.836505938664744,16.769492594401044,21.10672081810486
COP,2.5170867977470515,2.5170566416002704,2.467472330729164,2.9871809248869887
COR,6.629410976562864,6.533833820565715,16.07952016194661,17.640086336733145
COST,5.197486638368458,4.929438324436599,50.48268025716144,70.64469974756031
CRM,3.2639884142567688,3.2923671317219663,10.775322469075524,12.410767856200081
CRWD,10.26969906722315,9.736536715334944,39.87611185709636,49.16690556379128
CSCO,2.584746944251657,2.5241721216265054,1.5420691172281902,2.0669573714077663
CSX,0.9818257776131941,0.9822202125777277,0.316294225056966,0.3913440998171042
CTAS,5.423646964655722,5.3578361783254405,10.640424092610674,11.464010618668494
CVNA,13.341362644711406,12.742688209590957,31.357049560546876,35.502900314657296
CVS,13.45482787654616,12.727949323216201,6.997652689615886,8.301360007275955
CVX,4.4280639573768354,4.377864880707738,6.528888956705729,7.3747471300795535
DASH,7.48304439792749,7.155229973608673,13.768926493326823,17.318429087522112
DE,6.135836479143068,5.980175716787699,27.64867045084637,31.686919842309173
DELL,8.23408595044303,8.473996980041337,8.960492960611981,10.254949918646453
DHR,6.708081286500564,7.004720119207522,15.206480916341146,18.115491834945793
DIS,2.7925628994301777,2.82331474618148,3.05189107259115,3.680319527914239
DUK,1.8100243929588624,1.7859983487778115,1.9346143086751326,2.4474916409081424
ECL,3.691884721090038,3.584336126510406,8.92668863932291,11.489343648558936
ELV,3.957649956137861,3.9131987463180757,15.207697550455745,17.00750137980126
EMR,2.4872071349321776,2.499436365903806,3.0669746398925786,3.5351232500947147
EOG,4.284042104840509,4.207960265056622,5.431233723958331,6.646635988062007
EPD,4.387592404987014,4.356285060798241,1.3632027308146164,1.4569213042310638
EQIX,2.9710979074199204,3.000056622748208,26.901631673177086,30.72513338326828
ET,2.388760919250159,2.345908035014628,0.4493688583374025,0.5864095522215453
F,3.3492524095368363,3.466523783500599,0.3065709749857584,0.44267709822656826
FCX,3.9484486316604275,4.021398235880627,1.4896278381347654,1.78453356282677
FDX,6.214959135342194,6.353621230685229,16.315237426757815,19.25974441559253
FTNT,4.665295621421112,4.46521093020275,4.665622202555337,6.273833024457053
GD,3.164788651290574,3.2292428534653737,8.09352264404297,10.565805862664387
GE,11.446077662395542,10.98905842348637,21.85513712565104,25.424897390587564
GILD,2.9896980157430226,2.892766975476008,2.7600423177083333,3.9019911958134332
GLW,5.640642900587866,5.474223313372749,2.8027412414550783,3.39724716468011
GM,8.428162066062802,8.704222656387303,4.199195226033528,5.054453871460437
GOOG,2.866859912409025,2.8654756696343644,5.5746088663736915,6.655950926492669
GS,6.992744827027561,6.818967442047222,42.622188313802084,48.49242835508719
HCA,3.1621903304580146,3.0890404657331674,9.983199055989582,12.605899109031139
HD,3.0692526108806053,3.0245913306788847,12.16915995279948,14.176919222323423
HLT,3.0485187239051843,2.9601377890959615,7.711485799153649,10.381650955496573
HON,4.785264823989755,4.918377670232169,9.648362731933592,12.281660208252482
HOOD,22.55628564199246,21.305212399631948,11.15242919921875,12.706866229395796
HWM,9.890446792856794,9.674286646559652,12.16903305053711,13.384289299128167
IBKR,13.30591775993001,12.685672395053293,6.869282913208008,8.042734107844002
IBM,5.764091356750988,5.349307342248631,13.314161682128907,19.68468521444963
ICE,4.614305683984296,4.488644284347563,7.12729237874349,8.652602720335814
IDXX,3.9054932515037777,3.7654556381802604,17.043923950195314,23.05011418205086
INTC,5.256233121726905,5.219185795161744,1.072324117024739,1.2535853274691358
INTU,6.280566622983076,6.374255725347664,37.71046142578125,43.67516082054552
ISRG,8.133253896224158,7.983623047616457,46.69753824869792,51.642057251675816
ITW,1.2710486969839823,1.2778409996327245,3.189416503906251,3.8726716042531137
JNJ,2.4226158874107204,2.3763188438242886,3.513022867838542,4.369089174614277
JPM,7.548804850143657,7.351427363504989,19.391877237955725,22.352627429628527
KKR,5.281336837688403,5.195857223747799,8.038352966308594,9.730531855555803
KLAC,12.060450476386018,11.86979072108468,87.05103352864583,92.5937200959848
KMI,3.9846458875851285,3.8764529519921918,1.080204137166341,1.4176794959601782
KO,2.1187412278117117,2.0503383795908374,1.3022139231363934,2.0318721561671715
LHX,2.834974549481348,2.864584121454585,5.870326232910161,7.179315826382006
LLY,4.051987684909178,3.973428339320919,32.32296956380208,39.80174755416059
LMT,6.181448978905526,6.404621130336766,28.11486511230468,35.3443622611236
LOW,2.412863769283529,2.368006181153414,6.069060770670574,7.919708573907729
LRCX,7.154511848609456,7.016001015622626,5.6113121032714846,6.282363212573256
MA,3.740399427664643,3.6741119393202326,20.11458943684896,23.84243505940368
MAR,2.595551236370997,2.560869064114566,7.305534871419271,8.891853864622814
MCD,2.349546660221032,2.33700948277639,6.6855885823567744,8.17848523281349
MCK,1.8583221427474403,1.8485640149510132,10.986311848958334,12.397547321967663
MCO,3.0611741629182214,3.0130618615251548,14.833640543619794,18.184622728849156
MDLZ,4.60213755813907,4.652983373685846,2.6143802642822265,2.9128437917977146
MET,2.061572198937582,2.0365945383312654,1.6918128967285155,2.0841888500663304
META,10.279632301134203,9.866228970606223,67.611572265625,80.25075744304283
MMC,2.5293021601377474,2.478859186502159,5.460764058430983,6.864193894449978
MMM,10.030594653158188,9.742683247718933,14.233383941650391,16.180216559181545
MNST,8.310357129442233,8.449448169382512,4.082629140218099,4.51284764574351
