,WAPE,MAPE,MAE,RMSE
NEM,7.582348462384385,7.320283067288144,3.149437332153321,3.689952984523933
NET,18.294165637031146,16.422127042483325,24.501619974772137,32.16461903304823
NFLX,7.12183799841545,6.955682066443944,6.717476654052734,7.506388174101912
NKE,4.997095376712064,5.081649035770705,3.5735435485839844,4.093232162441467
NOC,2.6219591029420757,2.6082507071498697,12.271242268880211,15.99421600476672
NOW,4.874361736952867,4.9227954501382944,10.271521504720056,11.871212016079168
NSC,4.136212201296287,4.052712836907024,10.0739491780599,11.933949334847183
NVDA,5.859415045197476,6.042978366655827,7.819711558024091,9.641794022838182
ORCL,3.6230406044656545,3.646997111412912,6.050821431477863,7.8630499630591
ORLY,5.267324606809397,5.116294503500689,4.4427846272786455,5.482877494292938
PANW,3.4371641046366963,3.448275052654446,6.350424194335934,7.908155644230227
PCAR,2.6854486384588663,2.657846563196089,2.8307996114095046,3.324600558872901
PEP,4.778867507364586,4.8204798017663135,6.7599436442057295,7.412785327488656
PFE,1.6873412074533596,1.6994329210255879,0.4179653167724612,0.5121719204230485
PG,2.472634250002391,2.5214513862500834,3.987115987141927,5.077903289878504
PGR,2.9714116128009076,2.8993420564659216,7.279046630859378,9.540322457885283
PH,3.8204673956314674,3.742391581380085,25.345257568359376,30.161709231119488
PLD,6.754510498745487,6.537103404754137,7.474301147460937,8.873579477687212
PLTR,15.25397959242401,13.359202285019295,13.110032908121745,18.78306081570483
PM,6.681796887820172,6.19900360454033,8.455429077148436,12.239192727016455
PNC,2.044343840403025,2.026307487122091,3.9182820638020748,4.613484926469042
PWR,6.000753213451953,6.022795264314794,18.973506673177084,22.300992311433674
PYPL,5.590314277037028,5.8435080453415305,4.751060740152995,5.854512492461788
QCOM,7.297727322974809,7.178857746581047,11.92674560546875,13.14835120967182
RBLX,10.797983339743697,10.527990607369787,7.126309076944987,7.966236261623586
RCL,5.7386692553613665,5.466103292402172,14.053568522135414,18.18916456561452
REGN,6.4774627700220995,6.5778986066890495,44.725510660807295,51.37838068837244
RKT,5.703747417363515,5.675588358346738,0.6457756042480469,0.7467511749226191
ROST,3.319966859177812,3.399932715190578,4.862439473470052,6.3078887857472505
RSG,5.575948825935899,5.464992659257645,11.856817118326823,13.727578988237063
RTX,5.5496690586784085,5.414452032416077,6.727380879720053,7.915976832922683
SBUX,9.246045210841428,8.7129243022719,9.18579839070638,11.774806246303827
SCCO,2.6311270856234277,2.6185188207929344,2.355804951985677,2.695472737990061
SCHW,5.458609163437876,5.319523081405837,4.262816365559896,4.9205286627469205
SHW,2.9257017114060666,2.9018859888844664,10.241333007812502,11.15930632152765
SLB,3.8794568286306887,3.79160961835135,1.5371194203694671,1.8991187820308837
SNOW,10.06754238197319,9.796461336913898,17.687195332845054,19.744616246588873
SNPS,4.911634759342301,4.8130529022741575,25.39855448404948,29.817244131474062
SO,1.2318827555198477,1.2214543604373038,0.9973452250162761,1.295601543071268
SPG,1.7099399217123001,1.671776085842881,2.8688374837239583,4.157221294345898
SPGI,2.5017596975659915,2.4714198428863154,12.694580078125002,15.603116063441892
SRE,7.498294048570921,7.580116523970652,6.015587615966797,6.458916917378942
SYK,5.104057277473174,4.996752304735674,19.398193359375007,22.646397740454848
T,4.774869661440496,4.621082405616926,1.082602246602376,1.340274645339208
TDG,3.2314703624804837,3.1847229638245986,39.83639729817708,46.66807753979521
TFC,5.167349454366324,5.06963754299272,2.2754549662272137,2.603286256321633
TJX,1.6500604231153702,1.6363860497999254,2.0060427347819014,2.3531974527761736
TMO,5.961934521618454,5.836665829844087,33.367087809244794,38.878008603926865
TMUS,5.768116298656582,5.496566252920355,13.064719136555983,16.978598623347562
TRV,1.4680069706053063,1.4807697758659635,3.505739339192714,4.451150555958541
TSLA,7.014688508160694,7.479859294844848,27.399139404296875,37.68272323258919
TXN,3.0329036602208626,3.0426719808193963,5.509053548177084,6.152998026426897
UBER,11.015727191868843,10.654336700108187,7.6184033711751304,8.802782115058527
UNH,2.862448669682292,2.825650695844952,14.804791259765626,17.40821150070981
UNP,4.543157811169141,4.440863640713758,10.667062886555989,12.869129597943914
UPS,6.395261079735127,6.6561406396636285,7.356046040852864,9.006884432049235
USB,1.8756764958419094,1.8791512442005096,0.8738942464192706,1.053001604339134
V,4.56847797461575,4.430162571124821,15.030145263671875,18.561400949890146
VRT,9.976911253235029,9.563628132076433,12.368675231933594,15.319680315381
VRTX,6.439351926125807,6.179199932757444,28.304257202148445,35.640391575962575
VST,14.674162801653138,14.353923661889676,24.53392130533854,26.572457449068878
VZ,1.9170355750767742,1.9443322492440864,0.7201629638671877,0.8700822893560058
WBD,6.359390187105992,6.4700405413197535,0.6449057579040527,0.7259650073581535
WDAY,2.7200474055302757,2.730794109084313,7.025102742513018,8.128233895202902
WDC,6.278159616546315,6.198976745135229,3.0856891632080083,3.3966127804800337
WELL,5.851627118688165,5.594907660842238,7.7561592102050785,10.060996996115675
WFC,6.320467769960046,6.167716552156756,4.738978576660156,5.405885550859493
WM,5.2354461389658296,5.093624299045006,11.08432464599609,13.546750780821693
WMB,3.211806022919777,3.1413608211658577,1.762853876749675,2.3315746534860295
WMT,5.584224899705733,5.366728430313438,5.334845225016279,6.915961916858234
XOM,1.0960935361454422,1.094818607700999,1.1545199076334631,1.4333275224903375
ZTS,2.1773376385762933,2.155159632043747,3.6253753662109376,4.487719152820445
