,WAPE,MAPE,MAE,RMSE
JPM,7.517256707504148,7.318450060195588,19.31083424886067,22.318381299958038
KKR,5.249388583574122,5.185007107950846,7.989726765950521,9.579210609355334
KLAC,12.199401812725508,12.007657871692325,88.05396931966146,93.58260903868369
KMI,3.945342222532609,3.829597740419234,1.0695492426554358,1.4266007914989884
KO,2.081687870256864,2.0095012825261565,1.2794403076171876,2.0543386912086725
LHX,2.629604450301941,2.654559830871013,5.445070393880215,6.716080169779991
LLY,3.898672888061575,3.833387112811993,31.099967447916665,38.378246083422674
LMT,6.186142874847568,6.40889403113981,28.136214192708326,35.2714578942345
LOW,2.362463673913175,2.3183647139983052,5.94228973388672,7.7938253112737765
LRCX,7.385657108694371,7.249594406755675,5.79260025024414,6.429751071600662
MA,3.6202527068309958,3.566122364874935,19.4684814453125,22.68519234068791
MAR,2.4811940498569647,2.4580532523455614,6.983660888671875,8.39926006152454
MCD,2.4690885245033343,2.4651623049962152,7.025742594401046,8.209071060754322
MCK,2.074563366175773,2.062933458697792,12.264719645182291,13.60608974172342
MCO,2.947176664538913,2.9071452243213654,14.281238810221357,17.521814016918537
MDLZ,4.109928324131837,4.160348179503862,2.3347662607828776,2.6436579290337487
MET,2.1235267839251937,2.095409290049788,1.7426554361979167,2.175295220239033
META,10.367806077922875,9.952176055585484,68.19151204427084,80.8628726485144
MMC,2.73358356048006,2.6771746689865203,5.9018076578775975,7.376514350252529
MMM,9.907399655961077,9.617664968289095,14.058570607503254,16.04331640593586
MNST,8.386044889483344,8.523807290051682,4.119812266031902,4.537385228840582
MO,1.4917914216181911,1.5068051156168416,0.7404726664225261,0.8843814375758114
MPLX,6.503530020639835,6.349106443101304,3.1090670267740896,3.600745840332094
MRK,5.926274951723382,6.356020838131362,5.434733581542968,8.007025704458657
MRVL,5.851018479505648,5.836670405175603,6.668499501546224,7.745647594142681
MS,5.348575111120227,5.244263197952666,7.012828063964845,7.866926508023085
MSFT,2.8065124216579447,2.8117275853697157,11.77706502278645,13.98722997102705
MSI,1.4328811358825775,1.4475198618481195,6.616537475585932,9.09120504228375
MU,9.658176448047577,9.25657647853775,9.302179718017577,11.691138979470509
NDAQ,2.7688153889598817,2.7338479695741245,2.186553192138672,2.5258510983462887
NEE,4.014996560646519,4.065838645941318,2.7291793823242188,3.1784832954173883
NEM,7.927051024034088,7.661274516142126,3.2926144917805997,3.8208306012821893
NET,18.076012204114637,16.235897412412303,24.209444173177083,31.72547455416588
NFLX,6.958831496271242,6.8019438063035285,6.563725280761719,7.304417491431602
NKE,4.75580191633835,4.837566570662854,3.40098876953125,3.917925361290521
NOC,2.6299811777060866,2.624121764336092,12.308787027994795,15.841140190044
NOW,5.166212540636764,5.2337368964697415,10.886525472005212,12.701509181150698
NSC,3.730686861212625,3.6549439582851417,9.086272176106771,10.830399764108824
NVDA,5.928096013514901,6.116147288241296,7.9113700866699235,9.737050138887192
ORCL,3.7749096206400177,3.8059992811683077,6.304457092285156,8.05865143910914
ORLY,4.656760537928903,4.516716785232056,3.9277974446614583,4.928168698857319
PANW,3.188450519966981,3.212661662060326,5.890906778971352,7.341868445032231
PCAR,2.6195756162213106,2.5998462519797005,2.7613611857096347,3.156092639971214
PEP,4.6020126725553485,4.643423979304032,6.509773763020833,7.17442650810779
PFE,1.6245109678323233,1.6359534445039479,0.40240186055501326,0.49387825811883
PG,2.362138350474137,2.410470153029587,3.808941650390625,4.924124871163253
PGR,2.874984125757076,2.8056905225677338,7.04282887776693,9.205250073943503
PH,3.7349850693667004,3.658307459985909,24.77816162109375,29.58738197692981
PLD,6.67130449537598,6.458653160019044,7.382228342692057,8.742899614815306
PLTR,14.977787731270318,13.081948930500658,12.872659810384114,18.541193493813736
PM,6.572925405876237,6.103451468783341,8.317658487955727,11.987449091232374
PNC,1.791998607406364,1.778493133488741,3.4346257527669186,4.049741486701928
PWR,5.829647745983103,5.833055320993727,18.432496134440104,21.857896856060858
PYPL,5.6370280756153575,5.903257550302402,4.790761566162109,5.995674632673295
QCOM,7.139569837682715,7.026534010861332,11.668267313639323,12.81721274243073
RBLX,9.517610905680572,9.273767902503796,6.2813059488932295,7.101474266108928
RCL,5.757901279741287,5.484676401748426,14.100666300455726,18.191210891887685
REGN,5.945022785771331,6.03611338610813,41.04912516276042,47.517440942409486
RKT,5.193881633050191,5.188560275594478,0.5880488395690918,0.6659534369817739
ROST,4.001020999866211,4.095062231867922,5.85991465250651,7.432923936648059
RSG,5.291844289607653,5.186674880665834,11.252691141764323,13.027963081635265
RTX,5.445047443936846,5.313743140034695,6.6005572001139345,7.750381363828006
SBUX,9.436444218380128,8.900328079996351,9.374956766764322,11.953374457247593
SCCO,2.868454788397897,2.853644707518373,2.568298594156901,2.949303293718649
SCHW,5.434753501748498,5.298732701744494,4.2441866556803385,4.8822006778841605
SHW,2.7866212931489747,2.769464328607949,9.754486083984377,10.622336177395583
SLB,4.176113798761882,4.082996739381219,1.654660924275717,2.019376801053418
SNOW,9.331738971837524,9.084719001701925,16.39449666341146,18.265838925618908
SNPS,4.579875185617469,4.48695505066674,23.68299255371094,27.991638686089782
SO,1.3010006294734198,1.2908967212604707,1.0533037821451823,1.3441239279725348
SPG,1.6653045782320803,1.6290250167057823,2.793950907389323,4.007230360034062
SPGI,2.431244895466731,2.4083418063832704,12.33676961263021,15.098384413195218
SRE,7.770118723885408,7.85313188564217,6.233661905924479,6.672191572651417
SYK,4.951709095822353,4.846597937188654,18.819187418619798,22.064201966277825
T,4.980812693656607,4.8090014443642914,1.1292955398559565,1.4162092841849652
TDG,3.313818090652245,3.2654237715225847,40.85155029296875,47.88065750306181
TFC,4.824181649974909,4.7326844768741365,2.1243401845296224,2.4417564502368254
TJX,1.2022595830955551,1.1978992605104388,1.4616338094075525,1.7258944349046428
TMO,6.025284336586305,5.900537273507797,33.72163696289063,39.21217788823226
TMUS,5.723725916226803,5.453823576169885,12.964175415039055,16.866149758299986
TRV,1.693304173444472,1.7108689147342153,4.043770345052087,5.12043649728661
TSLA,7.957744153660562,8.497761757836605,31.082683308919272,43.080045787501426
TXN,2.9955449729758485,3.006467050063979,5.441194152832032,6.069181167719793
UBER,10.48309999986762,10.132699072007261,7.250041961669922,8.424114975469577
UNH,2.375473518377521,2.343892096143975,12.28612060546875,14.953679094535648
