,WAPE,MAPE,MAE,RMSE
GLW,5.631726286590333,5.465466429039881,2.798310724894206,3.391533673576423
GM,8.432535169442954,8.710495250789565,4.201374053955078,5.068012308260111
GOOG,2.891916396218883,2.8969807104284024,5.62333119710286,6.751329951650874
GS,6.921548510308915,6.750085899963771,42.188232421875,47.97295486716122
HCA,2.994933166475287,2.9234658558548783,9.455159505208332,12.126205594756781
HD,3.0291906956120975,2.9849307219814722,12.010320027669273,14.022431305451457
HLT,3.008150084604178,2.9223405502721866,7.609369913736982,10.203314695256447
HON,4.98606431167669,5.1212927323068325,10.05322774251302,12.682453013923809
HOOD,22.37895936572557,21.139371611829574,11.06475435892741,12.604225978378382
HWM,9.782526078562205,9.568684558482737,12.036249287923177,13.238783835028173
IBKR,13.32817235203014,12.71021181918238,6.8807720184326175,8.04597749082456
IBM,5.715196332572613,5.30304778570949,13.2012217203776,19.541223412226273
ICE,4.5976840338340095,4.472894262323309,7.1016184488932295,8.617841792429022
IDXX,3.7852065435098305,3.6496422118776213,16.518981933593754,22.34398658829202
INTC,5.204577671631893,5.160018184609696,1.0617858886718745,1.247834877042699
INTU,6.693810508381049,6.794176183540116,40.191705322265626,46.62730894985759
ISRG,8.093355451314922,7.944222340602394,46.468459065755205,51.407600884078924
ITW,1.2714386882086528,1.2784381864125882,3.1903951009114593,3.866848698099699
JNJ,2.4431262165282126,2.395797124361874,3.5427647908528646,4.413752046962747
JPM,7.578183744894989,7.380220610792178,19.467347717285154,22.4351558581305
KKR,5.2799115758891135,5.193331818042609,8.036183675130209,9.734464051867548
KLAC,12.034447150312202,11.845794346115369,86.86334431966146,92.32127635304829
KMI,4.000903763606363,3.8921852003874866,1.0846115112304686,1.4229829077277452
KO,2.1201584076912794,2.052563535368292,1.3030849456787112,2.029457464990651
LHX,2.8396243717814986,2.8694212263891945,5.879954528808598,7.182699051609712
LLY,4.014957798937253,3.9399217741971353,32.02757975260417,39.443024290395705
LMT,6.256035336566539,6.483658960738989,28.4541035970052,35.852472669736535
