number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,log_calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,agglo_linkage,agglo_metric,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,gmm_covariance_type,gmm_reg_covar,spectral_affinity,spectral_gamma,spectral_n_neighbors
925,TrialState.COMPLETE,-11.480034611344548,14,64,64,0.018981754779815674,0.5049782395362854,717.610595703125,6.577319619495741,0.5436829152265467,7.0,0.0,37.0,5.0,0.23125,7.4,0.0,0.9028677115420144,0.0,-11.480034611344548,64.0,52.0,0.00017081202002687898,gmm,7.0,,,,,,,,spherical,8.445718199217322e-05,,,
356,TrialState.COMPLETE,-11.480601967868399,14,64,64,0.018962528556585312,0.5176994204521179,717.2030029296875,6.57675226297189,0.5007301689035599,7.0,0.0,37.0,5.0,0.23125,7.4,0.0,0.9028677115420144,0.0,-11.480601967868399,128.0,106.0,0.00012038164308010491,gmm,7.0,,,,,,,,spherical,1.587431403194801e-06,,,
628,TrialState.COMPLETE,-11.526705715330392,15,64,64,0.024261070415377617,0.19627203047275543,224.71011352539062,5.4192514924136805,2.4021949438236367,7.0,0.0,56.0,8.0,0.35,7.0,0.0,0.8472978603872037,0.0,-11.526705715330392,64.0,58.0,0.00013191720224757652,gmm,7.0,,,,,,,,tied,1.1865137358409656e-06,,,
738,TrialState.COMPLETE,-11.552532304950411,14,256,64,0.019407689571380615,0.3606259226799011,385.3881530761719,5.956842442127588,0.8051930905397222,8.0,0.0,36.0,5.0,0.225,7.2,0.0,0.8754687373538999,0.0,-11.552532304950411,128.0,48.0,0.00019646267888145735,gmm,8.0,,,,,,,,spherical,1.7148347530154e-05,,,
847,TrialState.COMPLETE,-11.738103085993842,13,64,64,0.03019110858440399,0.45766353607177734,554.1571044921875,6.319251144846448,0.6439025019401436,7.0,0.0,37.0,5.0,0.23125,7.4,0.0,0.9028677115420144,0.0,-11.738103085993842,128.0,44.0,0.00020346171577129832,gmm,7.0,,,,,,,,spherical,4.1797905021789804e-06,,,
994,TrialState.COMPLETE,-11.823156672180168,13,64,64,0.02514038421213627,0.43784475326538086,508.89129638671875,6.234197558660121,0.7704833744528706,7.0,0.0,37.0,5.0,0.23125,7.4,0.0,0.9028677115420144,0.0,-11.823156672180168,128.0,53.0,0.00018694424601770374,gmm,7.0,,,,,,,,spherical,3.8006740142282723e-06,,,
566,TrialState.COMPLETE,-11.870352808712358,14,64,64,0.01791837066411972,0.5492222905158997,828.1212158203125,6.720366363771156,0.499522272254956,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-11.870352808712358,64.0,57.0,0.0001769716772603594,gmm,7.0,,,,,,,,diag,0.00807669238075816,,,
433,TrialState.COMPLETE,-11.896169792807378,16,64,64,0.01804334484040737,0.39339160919189453,273.02105712890625,5.61320495427062,0.7948567154414568,7.0,0.0,36.0,5.0,0.225,7.2,0.0,0.8754687373538999,0.0,-11.896169792807378,64.0,47.0,0.00018067409984455873,gmm,7.0,,,,,,,,spherical,0.005321921509989067,,,
177,TrialState.COMPLETE,-11.93880117748813,14,64,64,0.022372322157025337,0.5074492692947388,773.2679443359375,6.651917994995383,0.4896304642530857,8.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-11.93880117748813,128.0,50.0,0.00023289434607815838,gmm,8.0,,,,,,,,spherical,1.7438215627944534e-05,,,
411,TrialState.COMPLETE,-11.960540057913349,14,64,64,0.0184636153280735,0.5258786678314209,756.6178588867188,6.630179114570164,0.5215724962216666,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-11.960540057913349,128.0,44.0,0.00033452583951264214,gmm,7.0,,,,,,,,spherical,2.368813293006372e-06,,,
